Quasi_Static_Interval_Number,Compass_Heading,True_Heading,Time,Step,Floor,east,north,Gyro_Magnitude
0,2.2388775,,1740465065113,0.0,0.0,68.55789528823061,5.671234,226.94299781926816
0,0.11055572,,1740465068543,0.5,0.0,66.4146423208187,6.0490417,264.0134527805434
0,5.097632,,1740465068854,1.0,0.0,63.52724563130375,357.82974,293.6627260497728
0,9.095385,,1740465071515,1.5,0.0,63.23560854059997,357.9903,316.57245578343077
0,8.946061,,1740465071981,2.0,0.0,63.23560854059997,352.57037,333.4252411511325
0,6.301636,,1740465072293,2.5,0.0,62.886119792049506,344.263,344.9041011191216
0,5.882438,,1740465072654,3.0,0.0,63.12441212597548,343.909,351.69226172202985
0,9.316307,,1740465072913,3.5,0.0,63.12441212597548,338.84146,354.4730604792185
0,8.794398,,1740465073274,4.0,0.0,62.92967925589642,330.07718,353.929898894811
0,7.233145,,1740465073514,4.5,0.0,62.74237378956903,327.6892,350.7462168653427
0,6.719947,,1740465073915,5.0,0.0,62.17188874402965,336.8529,345.605477911688
0,9.84829,,1740465074233,5.5,0.0,60.40504557774955,333.3042,339.7063975171905
0,8.1529455,,1740465074594,6.0,0.0,59.92355155738017,329.3497,329.3599636397291
0,7.9506803,,1740465074835,6.5,0.0,58.822163127515125,329.8636,327.94353149694797
0,9.177109,,1740465075413,7.0,0.0,58.0171378236638,331.32327,326.75365649397753
0,9.606833,,1740465075553,7.5,0.0,57.48658131468596,327.33188,325.7536979132727
0,8.366432,,1740465076017,8.0,0.0,55.93138933103665,327.48416,323.94905085112265
0,8.881012,,1740465076133,8.5,0.0,53.521972707477815,316.25204,322.73249138474995
0,10.528423,,1740465076515,9.0,0.0,47.34967990916095,319.3781,321.69801277730403
0,12.089544,,1740465076777,9.5,0.0,47.34967990916095,322.1902,320.5445211809918
0,6.2008467,,1740465077255,10.0,0.0,47.34967990916095,320.96286,318.8598995119921
0,4.8472376,,1740465077374,10.5,0.0,47.59767917136297,317.1849,318.35272251145966
0,6.313937,,1740465077974,11.0,0.0,48.328223508628994,317.62842,317.75353152012144
0,6.501918,,1740465078093,11.5,0.0,48.328223508628994,313.15366,319.71893676034347
0,4.699903,,1740465078473,12.0,0.0,48.328223508628994,315.8049,320.8832936387195
1,-81.94394,12.885887056643298,1740465107635,20.5,0.0,60.940961440151234,301.61365,305.81132319601176
1,-86.63995,12.885887056643298,1740465107993,21.0,0.0,63.534531703239935,297.14728,306.7337968494579
1,-84.486305,12.885887056643298,1740465108177,21.5,0.0,64.07432817634532,303.43262,307.9947627622288
1,-81.82924,12.885887056643298,1740465108553,22.0,0.0,64.07432817634532,300.21573,308.0037083035922
1,-82.980965,12.885887056643298,1740465108753,22.5,0.0,64.07432817634532,300.26758,307.62708468220904
1,-85.57676,12.885887056643298,1740465109113,23.0,0.0,60.14672814251828,292.70163,307.4684499924504
1,-80.85969,12.885887056643298,1740465109453,23.5,0.0,56.87781586435964,291.92224,307.3366258284376
1,-79.32175,285.5112043799518,1740465109714,24.0,0.0,56.30903152470303,292.3815,307.2351545014746
1,-82.68449,285.5112043799518,1740465109993,24.5,0.0,54.70006998395889,293.68158,306.8257666959489
1,-88.10375,285.5112043799518,1740465110273,25.0,0.0,54.70006998395889,285.48376,306.9790282348949
1,-85.55008,285.5112043799518,1740465110475,25.5,0.0,54.70006998395889,293.49942,307.8945670395441
1,-85.68598,285.5112043799518,1740465110853,26.0,0.0,59.39134643405553,294.60736,309.2828128312393
1,-86.48885,285.5112043799518,1740465111053,26.5,0.0,61.34256398496888,299.63638,310.16383828615943
1,-91.645874,285.5112043799518,1740465111473,27.0,0.0,65.5323751095594,298.90387,311.7049562298976
1,-90.56804,285.5112043799518,1740465111654,27.5,0.0,67.21237911463929,305.4018,312.9132768498592
1,-87.21994,285.5112043799518,1740465112053,28.0,0.0,70.32455452222929,305.33746,313.64267160058955
1,-90.149605,285.5112043799518,1740465112233,28.5,0.0,71.22351481428026,302.46106,313.33684192913233
1,-94.41355,285.5112043799518,1740465112633,29.0,0.0,71.22351481428026,298.15973,311.1892233761036
1,-91.710945,285.5112043799518,1740465112814,29.5,0.0,71.22351481428026,304.17883,309.69674702671074
2,8.845667,285.5112043799518,1740465124793,38.0,0.0,67.81540892378369,350.49973,337.2049370573916
2,8.002356,285.5112043799518,1740465124893,38.5,0.0,67.81540892378369,334.0916,335.2143697441525
2,6.700721,285.5112043799518,1740465125233,39.0,0.0,66.18953608766267,324.99265,331.66439789209556
2,9.999725,285.5112043799518,1740465125494,39.5,0.0,59.956299189493016,332.4946,333.29288617072115
2,10.070715,285.5112043799518,1740465125873,40.0,0.0,57.84877240486612,338.99115,334.992196451235
2,9.034594,285.5112043799518,1740465126114,40.5,0.0,57.84877240486612,330.388,338.193542046816
2,13.982234,285.5112043799518,1740465126413,41.0,0.0,57.7195198243194,331.52094,341.73416262486455
2,17.391422,285.5112043799518,1740465126673,41.5,0.0,57.84877240486612,333.81314,332.87298283672123
2,15.3123255,285.5112043799518,1740465126873,42.0,0.0,57.94184854231008,328.7565,332.9343787598537
2,11.265785,285.5112043799518,1740465127216,42.5,0.0,58.31524645193571,331.10693,332.9173915482391
2,12.706068,285.5112043799518,1740465127514,43.0,0.0,58.31524645193571,339.42038,333.31204052066875
2,11.764347,285.5112043799518,1740465127754,43.5,0.0,59.17459600622551,338.06024,334.92387250618447
2,5.659896,285.5112043799518,1740465128014,44.0,0.0,59.05254545741445,348.7816,335.7666427416876
2,3.0506942,285.5112043799518,1740465128278,44.5,0.0,58.31524645193571,331.50473,336.0385290478021
2,9.964306,285.5112043799518,1740465128573,45.0,0.0,58.23534552786649,335.20892,335.64611029028623
2,14.357741,285.5112043799518,1740465128833,45.5,0.0,57.179371006946205,332.77496,336.17251460727056
2,12.980428,285.5112043799518,1740465129073,46.0,0.0,50.2614259397801,329.59567,336.9696245032334
2,10.708743,285.5112043799518,1740465129255,46.5,0.0,44.95866156815614,335.17154,337.40854272451986
2,6.7523146,15.750185224615905,1740465129553,47.0,0.0,44.61239317723271,334.6662,338.8290623810054
2,5.894133,15.750185224615905,1740465129936,47.5,0.0,44.61239317723271,343.96362,339.38886324375125
2,2.6481352,15.750185224615905,1740465130138,48.0,0.0,44.61239317723271,346.9614,339.9173370197077
2,-2.5813808,15.750185224615905,1740465130515,48.5,0.0,44.61239317723271,340.16135,341.06804823758347
2,2.8593621,15.750185224615905,1740465130793,49.0,0.0,44.61239317723271,339.17758,342.5874785112244
2,5.8086424,15.750185224615905,1740465131076,49.5,0.0,46.31271086321767,335.69366,345.7644192479849
2,6.77949,15.750185224615905,1740465131333,50.0,0.0,46.31271086321767,352.7057,347.69775446406095
2,6.053685,15.750185224615905,1740465131613,50.5,0.0,47.46664124677456,353.6058,349.7163616187619
2,7.674922,15.750185224615905,1740465131793,51.0,0.0,47.46664124677456,345.3248,350.0500863368617
2,11.985786,15.750185224615905,1740465132033,51.5,0.0,47.46664124677456,352.94937,348.58335139248805
2,12.039989,15.750185224615905,1740465132393,52.0,0.0,47.45330764288197,342.69128,346.3826923815182
2,10.300398,15.750185224615905,1740465132756,52.5,0.0,47.45330764288197,347.9983,343.83557385525313
2,12.086454,15.750185224615905,1740465132913,53.0,0.0,47.45330764288197,349.29544,341.54678856496474
2,16.905792,15.750185224615905,1740465133274,53.5,0.0,55.883283781914606,349.77316,339.6647890556632
2,15.240597,15.750185224615905,1740465133453,54.0,0.0,60.27456708679043,344.06396,336.2818286842127
2,12.346434,15.750185224615905,1740465133793,54.5,0.0,62.04471673720495,329.96432,332.46263686747017
2,13.907415,15.750185224615905,1740465134114,55.0,0.0,62.04471673720495,321.5212,328.3788107835084
2,13.765224,15.750185224615905,1740465134394,55.5,0.0,62.04471673720495,308.23468,325.53532727514096
2,10.22672,15.750185224615905,1740465134673,56.0,0.0,49.055373686274166,312.52597,324.6329303509608
2,7.341708,15.750185224615905,1740465134953,56.5,0.0,49.055373686274166,319.91245,323.01169385208
3,-74.79457,7.599820136054973,1740465169644,83.5,0.0,49.59527604772454,287.33127,305.3716665298236
3,-73.54805,7.599820136054973,1740465169924,84.0,0.0,51.385833711734215,294.01685,305.0110674220775
3,-75.4489,7.599820136054973,1740465170164,84.5,0.0,54.628182115552775,292.20776,301.6640492898248
3,-75.71803,7.599820136054973,1740465170425,85.0,0.0,56.41617814288735,298.74808,303.1789478383916
3,-75.7096,7.599820136054973,1740465170745,85.5,0.0,59.386018714424694,297.8754,304.09176451473587
3,-73.49786,7.599820136054973,1740465171103,86.0,0.0,59.90871962828116,298.90494,304.67501782945504
3,-75.57944,7.599820136054973,1740465171323,86.5,0.0,60.05534556765118,295.88632,304.3989569811657
3,-75.04965,7.599820136054973,1740465171685,87.0,0.0,60.55346939895352,295.31723,303.34798652950855
3,-72.295616,7.599820136054973,1740465171883,87.5,0.0,60.55346939895352,295.79437,301.8267017709388
3,-71.53987,7.599820136054973,1740465172290,88.0,0.0,60.55346939895352,292.96027,300.067704351215
3,-72.54852,7.599820136054973,1740465172424,88.5,0.0,59.76062274817758,289.2898,298.04023078667035
3,-78.91154,7.599820136054973,1740465172803,89.0,0.0,56.56474443060801,280.55563,295.8407846064992
3,-77.77679,7.599820136054973,1740465173043,89.5,0.0,54.80793880680061,278.0749,293.5902855451081
3,-77.77129,7.599820136054973,1740465173384,90.0,0.0,53.706159446566275,279.29947,292.0013882581802
3,-80.70055,7.599820136054973,1740465173665,90.5,0.0,52.53577650040018,281.29303,290.3741043619186
3,-80.88141,7.599820136054973,1740465173923,91.0,0.0,50.397676347724605,277.12137,289.2648654037582
3,-77.35548,7.599820136054973,1740465174253,91.5,0.0,48.38525408117643,274.9712,287.8716458005345
3,-75.53246,7.599820136054973,1740465174484,92.0,0.0,47.648165297837025,277.3179,287.69515013667154
3,-76.706245,7.599820136054973,1740465174783,92.5,0.0,46.840278807347,280.37997,287.6114294944228
3,-75.45376,7.599820136054973,1740465175048,93.0,0.0,45.79373763136178,275.7451,288.0242578311872
3,-72.34964,7.599820136054973,1740465175344,93.5,0.0,45.1843446339548,278.44366,288.7889301762818
3,-71.31104,290.80086973444025,1740465175623,94.0,0.0,44.90858770881134,278.0528,289.60745816752586
3,-73.10982,290.80086973444025,1740465175863,94.5,0.0,44.61865326015567,283.18292,289.9661630662497
3,-76.85484,290.80086973444025,1740465176143,95.0,0.0,44.204293131436906,272.6479,289.9244314887095
3,-73.96841,290.80086973444025,1740465176443,95.5,0.0,44.17388404079949,284.35797,290.0895027744127
3,-73.640976,290.80086973444025,1740465176665,96.0,0.0,44.16672071537573,279.77365,290.6447300447783
3,-75.456726,290.80086973444025,1740465176964,96.5,0.0,44.16672071537573,291.05508,290.74441677479217
3,-77.8993,290.80086973444025,1740465177223,97.0,0.0,43.2811033391017,277.61218,291.6250199522722
3,-74.04736,290.80086973444025,1740465177503,97.5,0.0,41.72538570822323,286.65286,292.90775878873336
3,-74.33112,290.80086973444025,1740465177763,98.0,0.0,40.43411886946468,282.0914,294.9072362409225
3,-74.72676,290.80086973444025,1740465177943,98.5,0.0,39.77200648697523,281.46155,296.7298687919454
3,-75.4031,290.80086973444025,1740465178307,99.0,0.0,37.78123707609374,281.8452,299.01508719186
3,-72.60039,290.80086973444025,1740465178485,99.5,0.0,37.2918179698979,287.38403,301.51543097482306
3,-71.08098,290.80086973444025,1740465178824,100.0,0.0,36.47034325996946,292.3298,304.77041274118034
3,-72.459015,290.80086973444025,1740465179023,100.5,0.0,36.06038771976807,294.3593,306.9685581730367
3,-72.247375,290.80086973444025,1740465179384,101.0,0.0,35.81997086123884,302.6197,310.0408123423872
3,-70.14228,290.80086973444025,1740465179683,101.5,0.0,35.717806746075546,314.2618,311.9294247134746
3,-70.25828,290.80086973444025,1740465179903,102.0,0.0,35.2439600321814,309.2364,315.7304987135666
3,-70.57924,290.80086973444025,1740465180123,102.5,0.0,35.08761355521347,312.0106,318.22102125669335
3,-70.521866,290.80086973444025,1740465180483,103.0,0.0,35.08761355521347,312.32098,320.747134735187
3,-69.3554,290.80086973444025,1740465180764,103.5,0.0,35.08761355521347,316.22452,322.22011576870875
3,-68.70775,290.80086973444025,1740465181007,104.0,0.0,36.036331493369296,314.2641,323.24782579281515
3,-69.7556,290.80086973444025,1740465181205,104.5,0.0,36.91253386385171,315.12378,323.4120406724953
3,-72.48328,290.80086973444025,1740465181565,105.0,0.0,39.66392016051868,310.44647,323.40911534887016
3,-69.37034,290.80086973444025,1740465181863,105.5,0.0,42.0933208033056,316.08337,322.91072938234896
3,-68.32783,290.80086973444025,1740465182130,106.0,0.0,43.41001828495353,312.44962,322.3192639250952
3,-69.5373,290.80086973444025,1740465182409,106.5,0.0,45.230745212742185,320.69604,321.0035064291615
3,-71.36026,290.80086973444025,1740465182683,107.0,0.0,47.17773077681885,308.19037,319.2175218757434
3,-68.08223,290.80086973444025,1740465182963,107.5,0.0,47.6133926143685,308.9501,317.8038024022491
4,8.170497,290.80086973444025,1740465191743,115.5,0.0,36.76174344682254,357.6524,301.7961097650759
4,8.519279,290.80086973444025,1740465191944,116.0,0.0,36.98870182231325,356.992,305.5003084810174
4,10.16854,290.80086973444025,1740465192264,116.5,0.0,37.27809343300701,355.52563,318.8300341435715
4,8.431183,290.80086973444025,1740465192504,117.0,0.0,37.41130135066141,353.69205,330.21751536708325
4,6.7533255,290.80086973444025,1740465192843,117.5,0.0,37.75688058155758,351.61215,342.0598182573269
4,8.0561,290.80086973444025,1740465193064,118.0,0.0,38.47508325202169,352.15598,345.0733038639393
4,10.74895,290.80086973444025,1740465193304,118.5,0.0,39.08949067524416,358.9223,347.6033173269441
4,10.150143,290.80086973444025,1740465193583,119.0,0.0,41.071726512894486,354.29138,344.3589837775988
4,10.311335,290.80086973444025,1740465193803,119.5,0.0,42.99518505018905,356.85812,335.35387482780584
4,9.887187,290.80086973444025,1740465194143,120.0,0.0,47.17806197005129,356.32523,320.6043844187838
4,12.602838,290.80086973444025,1740465194483,120.5,0.0,51.09874784424761,0.44747925,292.0133639612667
4,11.866783,290.80086973444025,1740465194663,121.0,0.0,54.428960294589494,355.6851,275.99517459049594
4,12.553761,290.80086973444025,1740465195004,121.5,0.0,57.26780563719899,1.1008606,263.11820228827327
4,15.509864,290.80086973444025,1740465195303,122.0,0.0,59.68213326658155,5.4888306,254.4427874539297
4,17.007084,290.80086973444025,1740465195584,122.5,0.0,59.68213326658155,4.0761414,249.7090581223981
4,14.713948,290.80086973444025,1740465195763,123.0,0.0,59.68213326658155,1.2485657,248.10571540246443
4,13.2934475,290.80086973444025,1740465196123,123.5,0.0,59.35081744382297,0.55911255,250.0691591554944
4,15.826316,290.80086973444025,1740465196424,124.0,0.0,58.40192767580536,8.675201,255.9615272193086
4,15.597668,290.80086973444025,1740465196645,124.5,0.0,57.20266192451187,1.9046631,264.9490050304544
4,11.056975,290.80086973444025,1740465196984,125.0,0.0,55.28311366276324,12.406433,277.63738523904374
4,10.2826,290.80086973444025,1740465197243,125.5,0.0,53.60252297000581,351.92902,292.9828443169529
4,12.572062,290.80086973444025,1740465197483,126.0,0.0,51.728935930482855,347.7446,298.7000355084928
4,16.144396,290.80086973444025,1740465197823,126.5,0.0,49.28766009357717,353.18423,315.3036616614302
4,15.279239,290.80086973444025,1740465198004,127.0,0.0,47.922830219531065,349.89612,321.29958870116235
4,12.982815,290.80086973444025,1740465198343,127.5,0.0,45.63925291073463,336.26367,324.7427454204455
4,13.182064,290.80086973444025,1740465198543,128.0,0.0,44.54860407465087,337.67264,324.6356320735299
4,15.369614,290.80086973444025,1740465198884,128.5,0.0,43.28827785902322,330.21487,336.3565999560079
4,14.477841,290.80086973444025,1740465199083,129.0,0.0,43.22330281514822,324.75708,336.41884766756016
4,13.260282,290.80086973444025,1740465199443,129.5,0.0,41.82819212265813,319.8652,333.68362005820296
4,13.387152,290.80086973444025,1740465199663,130.0,0.0,40.960537411025264,314.36658,327.8790523219905
4,17.183659,290.80086973444025,1740465199981,130.5,0.0,39.90237109182862,317.6901,318.7952857492712
4,15.762232,290.80086973444025,1740465200204,131.0,0.0,39.30300958578108,312.3857,318.9231657751398
4,15.248871,290.80086973444025,1740465200403,131.5,0.0,39.30300958578108,311.15872,319.714756036983
4,16.354599,290.80086973444025,1740465200843,132.0,0.0,39.30300958578108,316.45767,322.55258392928596
4,17.121117,290.80086973444025,1740465201103,132.5,0.0,39.537660053422485,320.7416,325.53632681725503
4,16.341545,290.80086973444025,1740465201383,133.0,0.0,39.537660053422485,336.19257,328.56391822224003
4,15.978891,290.80086973444025,1740465201643,133.5,0.0,39.763264296332615,328.52628,332.1495050580503
4,19.82859,290.80086973444025,1740465201943,134.0,0.0,39.763264296332615,342.10358,336.2588632392043
4,21.046188,290.80086973444025,1740465202184,134.5,0.0,39.84667881392375,343.8483,340.13101413485924
4,18.477043,290.80086973444025,1740465202463,135.0,0.0,42.5152086758374,347.9567,343.6581732111671
4,18.784016,290.80086973444025,1740465202743,135.5,0.0,44.01149530236391,346.18872,345.82591045215617
4,21.308855,290.80086973444025,1740465203023,136.0,0.0,45.36772496775654,350.49448,356.4160835134544
4,21.056578,290.80086973444025,1740465203264,136.5,0.0,45.36772496775654,349.49585,353.4082277905521
4,19.028204,290.80086973444025,1740465203443,137.0,0.0,45.36772496775654,345.34818,350.39190877033013
4,18.008615,290.80086973444025,1740465203828,137.5,0.0,43.63310275753949,349.21405,346.9844025180983
4,22.309679,290.80086973444025,1740465204084,138.0,0.0,42.797396971077575,351.63654,352.2224972892941
4,23.043552,290.80086973444025,1740465204223,138.5,0.0,42.51176307799995,353.80618,354.33061702205833
4,22.604113,12.413606529283925,1740465204523,139.0,0.0,41.0918369326561,350.22183,343.67252430503925
4,21.584225,12.413606529283925,1740465204863,139.5,0.0,39.694684389096736,348.67758,342.9748882944178
4,22.888266,12.413606529283925,1740465205083,140.0,0.0,38.8201985118572,348.95438,330.95710535957176
4,25.493069,12.413606529283925,1740465205364,140.5,0.0,38.10496399748988,358.10275,321.0450592642829
4,24.150524,12.413606529283925,1740465205723,141.0,0.0,38.10496399748988,6.264038,313.0276016869219
4,22.88513,12.413606529283925,1740465205823,141.5,0.0,38.10496399748988,352.9943,315.2729939217554
4,21.022438,12.413606529283925,1740465206163,142.0,0.0,38.39652287317173,353.86548,314.8746213792589
4,23.156403,12.413606529283925,1740465206543,142.5,0.0,39.02172872259763,359.54416,303.44116072647904
4,22.018473,12.413606529283925,1740465206803,143.0,0.0,39.02172872259763,10.345398,295.34580400465643
4,19.885973,12.413606529283925,1740465207063,143.5,0.0,38.39652287317173,0.35543823,289.8617563865576
4,19.80576,12.413606529283925,1740465207304,144.0,0.0,38.39540377766589,354.90924,295.7406297029347
4,21.841724,12.413606529283925,1740465207588,144.5,0.0,37.76681124016165,1.5873108,291.45467666860384
4,20.116356,12.413606529283925,1740465207825,145.0,0.0,37.76681124016165,0.7154541,290.370059736127
4,19.758745,12.413606529283925,1740465208003,145.5,0.0,37.71511218994317,358.2229,292.36221030562535
4,20.74808,12.413606529283925,1740465208503,146.0,0.0,37.71511218994317,1.1287537,297.8117031242008
4,21.652914,12.413606529283925,1740465208623,146.5,0.0,38.12525614668051,5.2848206,293.6843583816662
4,20.57519,12.413606529283925,1740465209044,147.0,0.0,38.1864770730425,3.9439697,300.772296649727
4,19.65808,12.413606529283925,1740465209303,147.5,0.0,38.1864770730425,357.25165,309.4049108501508
4,19.613087,12.413606529283925,1740465209523,148.0,0.0,38.433129832866854,353.36444,320.9385533142321
4,22.36759,12.413606529283925,1740465209843,148.5,0.0,39.72827629661272,357.1862,322.2650323152307
4,20.789772,12.413606529283925,1740465210164,149.0,0.0,42.74744144390399,3.9934692,320.62107776083593
4,19.213377,12.413606529283925,1740465210423,149.5,0.0,44.534089821730944,351.56012,328.12107480727155
4,20.538334,12.413606529283925,1740465210743,150.0,0.0,46.52922468728659,351.38785,331.71680825058627
4,21.371227,12.413606529283925,1740465210987,150.5,0.0,46.752214185533504,346.57544,334.6508805436376
4,20.111128,12.413606529283925,1740465211283,151.0,0.0,47.931754870857795,350.22232,336.77246574648234
4,19.645523,12.413606529283925,1740465211403,151.5,0.0,48.00329578528957,339.48553,337.9306968700668
4,16.802982,12.413606529283925,1740465211763,152.0,0.0,48.00329578528957,330.81732,337.9746758160228
4,19.320045,12.413606529283925,1740465212004,152.5,0.0,47.931754870857795,332.58917,336.753484316866
4,16.651384,12.413606529283925,1740465212463,153.0,0.0,47.370382360711424,336.25742,334.1161961676891
4,16.483976,12.413606529283925,1740465212766,153.5,0.0,45.618492686628734,324.7831,329.9118914577216
4,17.369349,12.413606529283925,1740465213063,154.0,0.0,44.415210051350776,319.22855,323.9896740908299
4,18.437813,12.413606529283925,1740465213263,154.5,0.0,43.6404780591906,319.70355,316.19869479600413
