Timestamp_(ms),Step,Original_Heading,Corrected_Heading,East,North
1740465065113,0.0,2.2388775,21.924501983618995,836558.1868313642,818602.117707699
1740465068543,0.5,0.11055572,16.862324891887305,836558.2670655517,818602.5601337157
1740465068854,1.0,5.097632,25.994193458946906,836558.4189029185,818602.9709658512
1740465071515,1.5,9.095385,33.10848148509135,836558.6217895814,818603.3485577806
1740465071981,2.0,8.946061,31.887365323812745,836558.8118047288,818603.729566919
1740465072293,2.5,6.301636,25.63234458782736,836558.9494351919,818604.1346493916
1740465072654,3.0,5.882438,23.781484675866032,836559.0680420316,818604.5439371843
1740465072913,3.5,9.316307,29.58773671969329,836559.2280760928,818604.9274363098
1740465073274,4.0,8.794398,27.430546150105442,836559.3667561462,818605.3171256967
1740465073514,4.5,7.233145,23.13978665790855,836559.4663251841,818605.7199475949
1740465073915,5.0,6.719947,22.42946800097452,836559.5550154196,818606.1219889255
1740465074233,5.5,9.84829,30.564581206154664,836559.7026156826,818606.4886179748
1740465074594,6.0,8.1529455,29.096858175490823,836559.8333390069,818606.8581483782
1740465074835,6.5,7.9506803,30.65695538323429,836559.9700949184,818607.2170831809
1740465075413,7.0,9.177109,35.11270839564921,836560.1336773025,818607.5507294133
1740465075553,7.5,9.606833,38.00942024019515,836560.3112721953,818607.8650110157
1740465076017,8.0,8.366432,37.595869434574325,836560.4791051075,818608.1771979389
1740465076133,8.5,8.881012,40.71744632083272,836560.6610912302,818608.4674176044
1740465076515,9.0,10.528423,46.12464394663803,836560.8701614612,818608.720025679
1740465076777,9.5,12.089544,51.37369763907607,836561.1018083765,818608.9327470371
1740465077255,10.0,6.2008467,41.731794102653,836561.2665503331,818609.2019425568
1740465077374,10.5,4.8472376,41.162846632246584,836561.4186967278,818609.4689000993
1740465077974,11.0,6.313937,46.23134995383065,836561.5939253395,818609.6990837804
1740465078093,11.5,6.501918,48.733356968376384,836561.7743340592,818609.9068267775
1740465078473,12.0,4.699903,47.240568329341095,836561.9356597351,818610.117902262
1740465078734,12.5,3.1624293,46.25655414911951,836562.0802463465,818610.3285121918
1740465079113,13.0,2.193576,46.38428878482585,836562.2142767913,818610.5311604408
1740465079415,13.5,4.3581843,52.748660144869795,836562.3728370881,818610.6835229554
1740465079876,14.0,-0.6151072,26.635514003770435,836562.3428887058,818610.9740495909
1740465080015,14.5,-1.475981,22.713816500936925,836562.2682945664,818611.2707346367
1740465080593,15.0,1.0446459,23.46687724700685,836562.1859749457,818611.5560829887
1740465080694,15.5,1.668742,20.914037111042816,836562.0682199135,818611.8407732927
1740465081035,16.0,2.0966506,17.6969803078224,836561.9083448659,818612.1252127446
1740465104933,16.5,-69.05118,287.12602550710824,836561.7561071437,818612.5219209576
1740465105193,17.0,-77.5954,275.0362066749711,836561.5681228422,818612.8044893659
1740465105573,17.5,-84.63353,264.0022637234954,836561.3664889709,818612.9808097009
1740465105873,18.0,-84.56677,262.8832904161325,836561.1522722819,818613.1389573686
1740465106373,18.5,-86.313255,259.1029541232598,836560.930291581,818613.2563264064
1740465106654,19.0,-88.65618,246.21759809799812,836560.7298621332,818613.257997703
1740465107033,19.5,-84.79624,255.4093066416076,836560.4911281156,818613.329525662
1740465107293,20.0,-80.183685,266.05574499163504,836560.2262505117,818613.4874909987
1740465107635,20.5,-81.94394,263.90695757685444,836559.9526151173,818613.6207744294
1740465107993,21.0,-86.63995,255.8381150280801,836559.681659517,818613.6786390024
1740465108177,21.5,-84.486305,261.4212314758957,836559.3916894678,818613.7799882521
1740465108553,22.0,-81.82924,267.9651350857274,836559.0876075808,818613.9344603389
1740465108753,22.5,-82.980965,266.8467818821915,836558.7757094551,818614.075085446
1740465109113,23.0,-85.57676,262.79704280027,836558.4592600138,818614.1765313427
1740465109453,23.5,-80.85969,273.33125381786186,836558.1323561851,818614.3677113313
1740465109714,24.0,-79.32175,277.46690896798134,836557.8020202988,818614.592517476
1740465109993,24.5,-82.68449,271.7623959944921,836557.4611915195,818614.7647709143
1740465110273,25.0,-88.10375,261.9075143981786,836557.119136384,818614.8482538093
1740465110475,25.5,-85.55008,266.3816383836138,836556.767420432,818614.9694831269
1740465110853,26.0,-85.68598,265.50185027477005,836556.411008711,818615.0817798041
1740465111053,26.5,-86.48885,263.31200094320354,836556.0516071089,818615.174024191
1740465111473,27.0,-91.645874,252.43645727693945,836555.7078402048,818615.1720539386
1740465111654,27.5,-90.56804,254.05205683271572,836555.3557889547,818615.1837050888
1740465112053,28.0,-87.21994,260.22850274712255,836554.9877663426,818615.2488583357
1740465112233,28.5,-90.149605,253.86868891771087,836554.6288234646,818615.2599945657
1740465112633,29.0,-94.41355,244.85860545783027,836554.294716875,818615.1978067141
1740465112814,29.5,-91.710945,249.79899242349853,836553.9409155538,818615.177350275
1740465113213,30.0,-84.96136,262.8498458066191,836553.5573403885,818615.2705353122
1740465113393,30.5,-85.16416,262.0116237860292,836553.1724630356,818615.3586278837
1740465113753,31.0,-90.41508,251.09209322591983,836552.8079997663,818615.3556856046
1740465113953,31.5,-89.32562,259.99027384595803,836552.4222282692,818615.4318329209
1740465114353,32.0,-84.92819,267.8961469592159,836552.0276744514,818615.5808351937
1740465114538,32.5,-86.133,267.09927296654706,836551.6322874294,818615.7266808639
1740465114953,33.0,-89.1055,264.15586524317644,836551.2380174554,818615.8509073943
1740465115139,33.5,-87.66036,267.4042808565289,836550.8410441175,818616.0084943081
1740465121862,34.0,4.76884,25.61795685716477,836550.9513130056,818616.523611477
1740465121954,34.5,7.6499195,35.37392641367576,836551.1351646303,818617.0003864666
1740465122473,35.0,10.272518,49.87251800000001,836551.4121476497,818617.3961602717
1740465122573,35.5,9.852354,56.652354,836551.7237960472,818617.7496402557
1740465123074,36.0,11.152655,65.152655,836552.0705110403,818618.043428904
1740465123354,36.5,10.233121,100.233121,836552.4543305686,818618.0406712374
1740465123533,37.0,8.8159685,98.8159685,836552.8382364389,818618.056545951
1740465124499,37.5,12.392348,102.392348,836553.2140531497,818618.0478900697
1740465124793,38.0,8.845667,98.845667,836553.5930703558,818618.0767944229
1740465124893,38.5,8.002356,98.002356,836553.9703036601,818618.1201046992
1740465125233,39.0,6.700721,96.700721,836554.3458229285,818618.1821400254
1740465125494,39.5,9.999725,99.999725,836554.7136069336,818618.2229676764
1740465125873,40.0,10.070715,100.070715,836555.0774514411,818618.2711232861
1740465126114,40.5,9.034594,99.034594,836555.4386483727,818618.3365924538
1740465126413,41.0,13.982234,103.982234,836555.7866142144,818618.3678946327
1740465126673,41.5,17.391422,107.391422,836556.1215666037,818618.3792389845
1740465126873,42.0,15.3123255,105.3123255,836556.456448021,818618.4176471699
1740465127216,42.5,11.265785,101.265785,836556.7939198465,818618.5007098259
1740465127514,43.0,12.706068,102.706068,836557.1227268288,818618.581652078
1740465127754,43.5,11.764347,101.764347,836557.4468618545,818618.6815311698
1740465128014,44.0,5.659896,95.659896,836557.7722979195,818618.846005427
1740465128278,44.5,3.0506942,92.30453071578937,836558.0924828794,818619.0518964564
1740465128573,45.0,9.964306,99.964306,836558.39766869,818619.2029727206
1740465128833,45.5,14.357741,104.357741,836558.686423363,818619.3291294066
1740465129073,46.0,12.980428,102.980428,836558.9692923637,818619.4807509365
1740465129255,46.5,10.708743,100.708743,836559.2469933627,818619.6663181724
1740465129553,47.0,6.7523146,96.7523146,836559.5201623852,818619.9014305165
1740465129936,47.5,5.894133,95.894133,836559.7837563423,818620.1598196232
1740465130138,48.0,2.6481352,91.49941271578938,836560.0388429962,818620.4734601906
1740465130515,48.5,-2.5813808,81.04038071578938,836560.2762895927,818620.8965098911
1740465130793,49.0,2.8593621,91.92186651578936,836560.5073337193,818621.2419508322
1740465131076,49.5,5.8086424,95.8086424,836560.7230825956,818621.5722416328
1740465131333,50.0,6.77949,96.77949,836560.924190468,818621.9140634843
1740465131613,50.5,6.053685,96.053685,836561.1115602226,818622.2833171929
1740465131793,51.0,7.674922,97.674922,836561.2819734517,818622.6604685303
1740465132033,51.5,11.985786,101.985786,836561.4298131878,818623.0233336069
1740465132393,52.0,12.039989,102.039989,836561.5606118441,818623.4101295505
1740465132756,52.5,10.300398,100.300398,836561.6765353489,818623.8376322147
1740465132913,53.0,12.086454,102.086454,836561.7705884305,818624.2765828912
1740465133274,53.5,16.905792,106.905792,836561.834177402,818624.7026141777
1740465133453,54.0,15.240597,105.240597,836561.8809771138,818625.1725023752
1740465133793,54.5,12.346434,102.346434,836561.9119059846,818625.6984477624
1740465134114,55.0,13.907415,103.907415,836561.9165778696,818626.2437789453
1740465134394,55.5,13.765224,329.40194415673477,836561.1479352439,818627.3809388821
1740465134673,56.0,10.22672,325.8634401567348,836560.3272736345,818628.5376035786
1740465134953,56.5,7.341708,322.97842815673476,836559.4589236355,818629.7175225546
1740465135213,57.0,9.336425,324.9731451567348,836558.5764539686,818630.9478264563
1740465135493,57.5,7.394805,323.0315251567348,836557.6502565363,818632.2101107759
1740465135776,58.0,0.1897727,315.8264928567348,836556.6443355508,818633.4752309779
1740465136021,58.5,-4.6864157,310.9503044567348,836555.575792489,818634.7555179263
1740465136214,59.0,-1.1594801,314.4772400567348,836554.4936263113,818636.1075287327
1740465136433,59.5,1.714016,317.3507361567348,836553.3931341509,818637.5285272766
1740465136934,60.0,3.5312238,319.1679439567348,836552.266167733,818639.0141637318
1740465137073,60.5,-0.19791895,315.43880120673475,836551.0745501695,818640.534171786
1740465145121,61.0,-80.888725,234.7479951567348,836550.9293422978,818640.0161869313
1740465145514,61.5,-86.2137,229.42302015673476,836550.7711667427,818639.5201444477
1740465145773,62.0,-90.8971,224.7396201567348,836550.5998594216,818639.052435967
1740465146314,62.5,-91.48387,224.1528501567348,836550.3914170852,818638.6394520871
1740465146457,63.0,-90.93478,224.7019401567348,836550.1390353746,818638.2880936129
1740465146803,63.5,-89.82924,225.80748015673478,836549.8395624636,818638.0019225792
1740465147044,64.0,-89.950935,225.68578515673477,836549.5007824103,818637.7733990619
1740465151536,64.5,-38.85417,276.78255015673477,836549.3393447882,818637.2039216992
1740465152064,65.0,0.77673835,316.4134585067348,836549.292409136,818636.9984552709
1740465152270,65.5,9.225902,324.8626221567348,836549.2647406368,818636.896011592
1740465152703,66.0,11.859168,49.3982689752,836549.8749662932,818636.7634848257
1740465154047,66.5,14.83598,60.74831430159998,836550.5053387955,818636.6021631634
1740465154204,67.0,16.099766,69.83380794799997,836551.132532729,818636.4202611122
1740465154623,67.5,12.412223,98.28141657999994,836551.7491642279,818636.0423224855
1740465154743,68.0,11.510866,96.47870257999998,836552.3318166145,818635.73078116
1740465155344,68.5,13.15472,99.76641057999996,836552.8745404967,818635.4404587122
1740465155623,69.0,13.475129,100.40722857999994,836553.3805572995,818635.1940194165
1740465155783,69.5,11.396565,96.25010057999997,836553.8561974801,818635.0329791624
1740465156143,70.0,10.971217,95.39940457999998,836554.2968364027,818634.9282196002
1740465156489,70.5,18.477371,108.477371,836554.6777056243,818634.7593314628
1740465156724,71.0,19.070063,109.070063,836555.0207195036,818634.6341261815
1740465156923,71.5,14.907696,103.27236257999995,836555.3414833153,818634.606832501
1740465157264,72.0,11.552455,96.56188057999996,836555.6355125289,818634.6868648328
1740465157503,72.5,14.433669,102.32430857999996,836555.8837323873,818634.7660091652
1740465157763,73.0,14.005742,101.46845457999996,836556.0954343068,818634.9023277238
1740465158049,73.5,10.032726,93.52242257999998,836556.2774983608,818635.1585563896
1740465158303,74.0,10.905454,95.26787857999999,836556.4187851598,818635.4504980191
1740465158584,74.5,14.170979,101.79892857999995,836556.5110125167,818635.7373453168
1740465158863,75.0,14.1698,101.79657057999997,836556.5617331621,818636.0771221237
1740465159124,75.5,11.934158,97.32528657999998,836556.57638994,818636.5098583449
1740465159404,76.0,10.887475,95.23192057999995,836556.5492273073,818637.016236891
1740465159704,76.5,12.61157,98.68011057999999,836556.4732059204,818637.5490245669
1740465159983,77.0,13.58998,65.81815034799999,836556.3119545088,818638.423710207
1740465160268,77.5,12.562631,57.29282382159998,836556.0666938893,818639.4243921394
1740465160504,78.0,11.619615,49.05331265519999,836555.7279930512,818640.5449414479
1740465160883,78.5,16.30441,48.61850700879998,836555.3351134701,818641.7320078306
1740465161043,79.0,15.913516,40.937252242399985,836554.8405188144,818643.0325919612
1740465167327,79.5,-80.06394,278.0861085624,836555.3921442089,818641.8566882744
1740465167704,80.0,-76.71997,282.1053502088,836555.8969763768,818640.7806691851
1740465167923,80.5,-78.08934,279.8724174552,836556.3475323629,818639.7472651942
1740465168123,81.0,-78.750595,278.4967203016,836556.7480058899,818638.761041468
1740465168484,81.5,-78.97457,277.714870348,836557.1016160395,818637.8245040833
1740465168869,82.0,-73.5842,286.28857057999994,836557.427210386,818637.0159968837
1740465169063,82.5,-74.349365,284.7582405799999,836557.707464617,818636.246099835
1740465169443,83.0,-75.42181,282.61335058,836557.9434386295,818635.5071816988
1740465169644,83.5,-74.79457,283.8678305799999,836558.1439787886,818634.8263154434
1740465169924,84.0,-73.54805,286.36087058,836558.3140193328,818634.2119682176
1740465170164,84.5,-75.4489,282.55917058,836558.4410727753,818633.6084713606
1740465170425,85.0,-75.71803,282.02091057999996,836558.5340648697,818633.0419097948
1740465170745,85.5,-75.7096,282.0377705799999,836558.5955092863,818632.5153950324
1740465171103,86.0,-73.49786,286.46125057999996,836558.6363829817,818632.0650673233
1740465171323,86.5,-75.57944,282.29809058,836558.6392536754,818631.6159571258
1740465171685,87.0,-75.04965,283.35767058,836558.6165751967,818631.2114170775
1740465171883,87.5,-72.295616,288.86573857999997,836558.5809424369,818630.8877468364
1740465172290,88.0,-71.53987,290.37723057999995,836558.5244494212,818630.6095744902
1740465172424,88.5,-72.54852,288.35993057999997,836558.4377474813,818630.3463747073
1740465172803,89.0,-78.91154,275.63389057999996,836558.3044105355,818630.004158815
1740465173043,89.5,-77.77679,277.90339057999995,836558.1510481779,818629.7115989001
1740465173384,90.0,-77.77129,277.9143905799999,836557.9761810774,818629.4479773159
1740465173665,90.5,-80.70055,272.0558705799999,836557.7761167608,818629.1608268854
1740465173923,91.0,-80.88141,271.6941505799999,836557.5560107373,818628.8977278229
1740465174253,91.5,-77.35548,278.74601057999996,836557.3223467,818628.7231790803
1740465174484,92.0,-75.53246,282.39205057999993,836557.0760339105,818628.6062095704
1740465174783,92.5,-76.706245,280.04448058,836556.8077512364,818628.4942555579
1740465175048,93.0,-75.45376,282.54945058,836556.5264432547,818628.4288567856
1740465175344,93.5,-72.34964,288.7576905799999,836556.243098392,818628.4406608524
1740465175623,94.0,-71.31104,290.83489058,836555.9496300437,818628.493770179
1740465175863,94.5,-73.10982,287.23733057999993,836555.629908369,818628.5405634772
1740465176143,95.0,-76.85484,279.74729058,836555.2792798864,818628.54652452
1740465176443,95.5,-73.96841,285.52015057999995,836554.9246921103,818628.6254940368
1740465176665,96.0,-73.640976,286.1750185799999,836554.5569080948,818628.7331530536
1740465176964,96.5,-75.456726,282.54351857999995,836554.1666889855,818628.832778659
1740465177223,97.0,-77.8993,277.65837058,836553.754682797,818628.9129443775
1740465177503,97.5,-74.04736,285.3622505799999,836553.3422507134,818629.0827960101
1740465177763,98.0,-74.33112,284.79473057999996,836552.9147072743,818629.2709428569
1740465177943,98.5,-74.72676,284.00345057999994,836552.47177305,818629.4756024338
1740465178307,99.0,-75.4031,282.65077057999997,836552.0125523353,818629.6921231146
1740465178485,99.5,-72.60039,288.25619057999995,836551.5530758725,818629.9801073923
1740465178824,100.0,-71.08098,291.29501057999994,836551.089288981,818630.3174279942
1740465179023,100.5,-72.459015,288.5389405799999,836550.6038358784,818630.6563198806
1740465179384,101.0,-72.247375,288.9622205799999,836550.1061981821,818631.0236582564
1740465179683,101.5,-70.14228,293.1724105799999,836549.608493405,818631.4511095051
1740465179903,102.0,-70.25828,292.94041057999993,836549.0964710313,818631.902658586
1740465180123,102.5,-70.57924,292.2984905799999,836548.5686379313,818632.3755924526
1740465180483,103.0,-70.521866,292.41323858,836548.0274119144,818632.8767856244
1740465180764,103.5,-69.3554,294.7461705799999,836547.4804679508,818633.4249588449
1740465181007,104.0,-68.70775,296.0414705799999,836546.9242511159,818634.0124026078
1740465181205,104.5,-69.7556,293.94577057999993,836546.3457786337,818634.612913695
1740465181565,105.0,-72.48328,288.49041058,836545.735147038,818635.1993492692
1740465181863,105.5,-69.37034,275.38426252025744,836545.0855689197,818635.7046518855
1740465182130,106.0,-68.32783,276.5952884072391,836544.4216930801,818636.2536386523
1740465182409,106.5,-69.5373,273.28641653699754,836543.73948313,818636.8077782707
1740465182683,107.0,-71.36026,268.73462812267275,836543.0403050735,818637.3573077305
1740465182963,107.5,-68.08223,274.36891628161186,836542.3257323278,818637.9935604217
1740465183184,108.0,-66.06039,277.47498822253175,836541.5967234424,818638.695584491
1740465183503,108.5,-64.80418,279.03406739641434,836540.8518571005,818639.451310837
1740465183764,109.0,-60.752674,291.3998189507699,836540.1171610387,818640.3540078843
1740465184063,109.5,-53.77824,301.96830893715844,836539.4052268171,818641.3835662686
1740465184345,110.0,-53.436493,302.5351380511516,836538.6761521945,818642.4628223169
1740465184563,110.5,-53.010033,303.32263521582183,836537.9302907039,818643.5953983765
1740465185063,111.0,-47.173424,311.5567551154735,836537.2072370697,818644.8352992086
1740465185283,111.5,-35.473663,326.52251138873396,836536.5615040516,818646.2135015918
1740465185945,112.0,-3.1215687,7.637198336584343,836536.2390927274,818647.7254544112
1740465186323,112.5,4.6232452,20.85869945420484,836536.005511814,818649.2655188034
1740465190283,113.0,10.39556,32.30202893644828,836536.7334431945,818648.5535567888
1740465190623,113.5,9.011209,33.611052883121204,836537.4470589614,818647.8919171002
1740465190843,114.0,10.260261,38.7296875641172,836538.1742316316,818647.2575030118
1740465191205,114.5,13.815503,63.70132729461803,836539.0165906479,818646.5038136597
1740465191383,115.0,12.36664,59.67477522557748,836539.8211456375,818645.8303198974
1740465191743,115.5,8.170497,50.14404228330265,836540.5573364401,818645.2722028361
1740465191944,116.0,8.519279,49.69432475182124,836541.2718208873,818644.7614813093
1740465192264,116.5,10.16854,51.837557463044725,836541.9799531661,818644.27835497
1740465192504,117.0,8.431183,47.20041083808209,836542.6439464808,818643.8666493482
1740465192843,117.5,6.7533255,42.676018506854845,836543.2628341134,818643.5215490883
1740465193064,118.0,8.0561,44.10757453214056,836543.874781397,818643.2043478707
1740465193304,118.5,10.74895,48.31492127238797,836544.4969628755,818642.8952056195
1740465193583,119.0,10.150143,45.935570925424756,836545.0899732158,818642.6347366809
1740465193803,119.5,10.311335,45.07382980226028,836545.6633511749,818642.4114366592
1740465194143,120.0,9.887187,43.0400263863274,836546.2100583917,818642.2309163308
1740465194483,120.5,12.602838,47.28545223847764,836546.7699481804,818642.0527167186
1740465194663,121.0,11.866783,44.62811281167211,836547.3007330992,818641.918996116
1740465195004,121.5,12.553761,44.818498241454385,836547.8203650798,818641.8104627198
1740465195303,122.0,15.509864,49.549796178864206,836548.3564556947,818641.6964793561
1740465195584,122.5,17.007084,51.36698073144485,836548.8912027677,818641.5942120472
1740465195763,123.0,14.713948,45.608077575435274,836549.381029584,818641.5530744315
1740465196123,123.5,13.2934475,41.60001829822839,836549.8343271768,818641.5584130326
1740465196424,124.0,15.826316,45.50519102486303,836550.302021672,818641.5611135546
1740465196645,124.5,15.597668,43.89471437589731,836550.7492689764,818641.5940689523
1740465196984,125.0,11.056975,33.668385796712734,836551.1160906093,818641.7029533644
1740465197243,125.5,10.2826,30.98374729037357,836551.4529946153,818641.8431558505
1740465197483,126.0,12.572062,7.911438324675341,836551.589309389,818642.06866624
1740465197823,126.5,16.144396,15.05610632467534,836551.7779175999,818642.2988313574
1740465198004,127.0,15.279239,13.32579232467534,836551.9423288296,818642.5493098211
1740465198343,127.5,12.982815,8.73294432467534,836552.0576671684,818642.8235093609
1740465198543,128.0,13.182064,9.13144232467534,836552.1673209046,818643.1125577125
1740465198884,128.5,15.369614,13.50654232467534,836552.3057754281,818643.4088904198
1740465199083,129.0,14.477841,11.72299632467534,836552.4198162033,818643.7230429427
1740465199443,129.5,13.260282,9.28787832467534,836552.5036962966,818644.0550426391
1740465199663,130.0,13.387152,9.54161832467534,836552.5807828614,818644.4001818671
1740465199981,130.5,17.183659,17.134632324675337,836552.714068947,818644.7429786248
1740465200204,131.0,15.762232,14.291778324675338,836552.814119953,818645.105344997
1740465200403,131.5,15.248871,13.265056324675339,836552.8962378964,818645.4823199381
1740465200843,132.0,16.354599,15.47651232467534,836552.9880710036,818645.8666053443
1740465201103,132.5,17.121117,17.009548324675343,836553.0835893245,818646.2590028471
1740465201383,133.0,16.341545,15.45040432467534,836553.1564346418,818646.6669210206
1740465201643,133.5,15.978891,14.725096324675341,836553.2134898399,818647.0879782067
1740465201943,134.0,19.82859,22.424494324675337,836553.3251893249,818647.4986848237
1740465202184,134.5,21.046188,24.85969032467534,836553.4466088183,818647.9119217485
1740465202463,135.0,18.477043,19.721400324675336,836553.5158269979,818648.3534124423
1740465202743,135.5,18.784016,20.335346324675342,836553.5796723759,818648.803999921
1740465203023,136.0,21.308855,25.385024324675342,836553.6738620248,818649.2481569257
1740465203264,136.5,21.056578,24.880470324675336,836553.75296053,818649.705068435
1740465203443,137.0,19.028204,20.823722324675337,836553.7876499946,818650.1867507014
1740465203828,137.5,18.008615,18.784544324675338,836553.7936374685,818650.6854132637
1740465204084,138.0,22.309679,27.386672324675338,836553.8573208946,818651.1652321251
1740465204223,138.5,23.043552,28.854418324675336,836553.9198706138,818651.649941483
1740465204523,139.0,22.604113,27.975540324675343,836553.9625679157,818652.1494507154
1740465204863,139.5,21.584225,25.93576432467534,836553.9756932716,818652.6683644742
1740465205083,140.0,22.888266,28.543846324675343,836553.9952707663,818653.1881290227
1740465205364,140.5,25.493069,33.75345232467534,836554.0396353157,818653.6956796083
1740465205723,141.0,24.150524,31.06836232467534,836554.0487965196,818654.2277435978
1740465205823,141.5,22.88513,28.53757432467534,836554.0227489528,818654.7829656943
1740465206163,142.0,21.022438,24.812190324675342,836553.950818802,818655.3652831228
1740465206543,142.5,23.156403,29.08012032467534,836553.8953009427,818655.9431493557
1740465206803,143.0,22.018473,26.80426032467534,836553.8040780883,818656.5434054078
1740465207063,143.5,19.885973,22.53926032467534,836553.6598811373,818657.1727260461
1740465207304,144.0,19.80576,22.37883432467534,836553.4947853494,818657.8163333759
1740465207588,144.5,21.841724,26.45076232467534,836553.3419545806,818658.4592592549
1740465207825,145.0,20.116356,23.00002632467534,836553.1400083269,818659.1295927683
1740465208003,145.5,19.758745,22.284804324675342,836552.9098014162,818659.8175285923
1740465208503,146.0,20.74808,24.263474324675343,836552.6721665241,818660.514276744
1740465208623,146.5,21.652914,26.073142324675338,836552.424401189,818661.2205334796
1740465209044,147.0,20.57519,23.917694324675338,836552.1336035299,818661.9517721696
1740465209303,147.5,19.65808,22.083474324675343,836551.8008754737,818662.7069500248
1740465209523,148.0,19.613087,21.99348832467534,836551.4390874513,818663.4807495709
1740465209843,148.5,22.36759,27.50249432467534,836551.0917788786,818664.2532679138
1740465210164,149.0,20.789772,24.34685832467534,836550.6882464341,818665.0578663338
1740465210423,149.5,19.213377,21.194068324675342,836550.2263499075,818665.8939960422
1740465210743,150.0,20.538334,23.843982324675338,836549.7517784614,818666.7428240094
1740465210987,150.5,21.371227,25.509768324675342,836549.2545822323,818667.6081363952
1740465211283,151.0,20.111128,22.98957032467534,836548.6993033175,818668.5062417808
1740465211403,151.5,19.645523,22.05836032467534,836548.0967579257,818669.4322286275
1740465211763,152.0,16.802982,16.37327832467534,836547.4051571263,818670.4006111914
1740465212004,152.5,19.320045,21.40740432467534,836546.7118845804,818671.3816796507
1740465212463,153.0,16.651384,16.07008232467534,836545.9280450202,818672.4062446533
1740465212766,153.5,16.483976,15.735266324675337,836545.0931192505,818673.4613203494
1740465213063,154.0,17.369349,17.50601232467534,836544.2225099803,818674.5430419567
1740465213263,154.5,18.437813,19.642940324675337,836543.3165642394,818675.651368544
